author,article
"Andrea Arcuri","The GISMOE challenge: constructing the pareto program surface using genetic programming to find better programs (keynote paper)"
"John A. Clark","The GISMOE challenge: constructing the pareto program surface using genetic programming to find better programs (keynote paper)"
"Michael Goedicke","The GISMOE challenge: constructing the pareto program surface using genetic programming to find better programs (keynote paper)"
"Tim Menzies","The GISMOE challenge: constructing the pareto program surface using genetic programming to find better programs (keynote paper)"
"Motoshi Saeki","The GISMOE challenge: constructing the pareto program surface using genetic programming to find better programs (keynote paper)"
"Ivar Jacobson","Re-founding software engineering – SEMAT at the age of three (keynote abstract)"
"Ian Spence","Re-founding software engineering – SEMAT at the age of three (keynote abstract)"
"Pontus Johnson","Re-founding software engineering – SEMAT at the age of three (keynote abstract)"
"Mira Kajko-Mattsson","Re-founding software engineering – SEMAT at the age of three (keynote abstract)"
"Michael Goedicke","Re-founding software engineering – SEMAT at the age of three (keynote abstract)"
"Tim Menzies","Re-founding software engineering – SEMAT at the age of three (keynote abstract)"
"Motoshi Saeki","Re-founding software engineering – SEMAT at the age of three (keynote abstract)"
"Kai Yu","Practical isolation of failure-inducing changes for debugging regression faults"
"Mengxiang Lin","Practical isolation of failure-inducing changes for debugging regression faults"
"Jin Chen","Practical isolation of failure-inducing changes for debugging regression faults"
"Xiangyu Zhang","Practical isolation of failure-inducing changes for debugging regression faults"
"Michael Goedicke","Practical isolation of failure-inducing changes for debugging regression faults"
"Tim Menzies","Practical isolation of failure-inducing changes for debugging regression faults"
"Motoshi Saeki","Practical isolation of failure-inducing changes for debugging regression faults"
"Liang Gong","Diversity maximization speedup for fault localization"
"David Lo","Diversity maximization speedup for fault localization"
"Lingxiao Jiang","Diversity maximization speedup for fault localization"
"Hongyu Zhang","Diversity maximization speedup for fault localization"
"Michael Goedicke","Diversity maximization speedup for fault localization"
"Tim Menzies","Diversity maximization speedup for fault localization"
"Motoshi Saeki","Diversity maximization speedup for fault localization"
"Divya Gopinath","Improving the effectiveness of spectra-based fault localization using specifications"
"Razieh Nokhbeh Zaeem","Improving the effectiveness of spectra-based fault localization using specifications"
"Sarfraz Khurshid","Improving the effectiveness of spectra-based fault localization using specifications"
"Michael Goedicke","Improving the effectiveness of spectra-based fault localization using specifications"
"Tim Menzies","Improving the effectiveness of spectra-based fault localization using specifications"
"Motoshi Saeki","Improving the effectiveness of spectra-based fault localization using specifications"
"Ferdian Thung","To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
Lucia,"To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
"David Lo","To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
"Lingxiao Jiang","To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
"Foyzur Rahman","To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
"Premkumar T. Devanbu","To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
"Michael Goedicke","To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
"Tim Menzies","To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
"Motoshi Saeki","To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools"
"Tegawendé F. Bissyandé","Diagnosys: automatic generation of a debugging interface to the Linux kernel"
"Laurent Réveillère","Diagnosys: automatic generation of a debugging interface to the Linux kernel"
"Julia L. Lawall","Diagnosys: automatic generation of a debugging interface to the Linux kernel"
"Gilles Muller","Diagnosys: automatic generation of a debugging interface to the Linux kernel"
"Michael Goedicke","Diagnosys: automatic generation of a debugging interface to the Linux kernel"
"Tim Menzies","Diagnosys: automatic generation of a debugging interface to the Linux kernel"
"Motoshi Saeki","Diagnosys: automatic generation of a debugging interface to the Linux kernel"
"Anh Tuan Nguyen","Duplicate bug report detection with a combination of information retrieval and topic modeling"
"Tung Thanh Nguyen","Duplicate bug report detection with a combination of information retrieval and topic modeling"
"Tien N. Nguyen","Duplicate bug report detection with a combination of information retrieval and topic modeling"
"David Lo","Duplicate bug report detection with a combination of information retrieval and topic modeling"
"Chengnian Sun","Duplicate bug report detection with a combination of information retrieval and topic modeling"
"Michael Goedicke","Duplicate bug report detection with a combination of information retrieval and topic modeling"
"Tim Menzies","Duplicate bug report detection with a combination of information retrieval and topic modeling"
"Motoshi Saeki","Duplicate bug report detection with a combination of information retrieval and topic modeling"
"Xusheng Xiao","User-aware privacy control via extended static-information-flow analysis"
"Nikolai Tillmann","User-aware privacy control via extended static-information-flow analysis"
"Manuel Fahndrich","User-aware privacy control via extended static-information-flow analysis"
"Jonathan De Halleux","User-aware privacy control via extended static-information-flow analysis"
"Michal Moskal","User-aware privacy control via extended static-information-flow analysis"
"Michael Goedicke","User-aware privacy control via extended static-information-flow analysis"
"Tim Menzies","User-aware privacy control via extended static-information-flow analysis"
"Motoshi Saeki","User-aware privacy control via extended static-information-flow analysis"
"Sonia Haiduc","Automatic query performance assessment during the retrieval of software artifacts"
"Gabriele Bavota","Automatic query performance assessment during the retrieval of software artifacts"
"Rocco Oliveto","Automatic query performance assessment during the retrieval of software artifacts"
"Andrea De Lucia","Automatic query performance assessment during the retrieval of software artifacts"
"Andrian Marcus","Automatic query performance assessment during the retrieval of software artifacts"
"Michael Goedicke","Automatic query performance assessment during the retrieval of software artifacts"
"Tim Menzies","Automatic query performance assessment during the retrieval of software artifacts"
"Motoshi Saeki","Automatic query performance assessment during the retrieval of software artifacts"
"Mohamed Almorsy","Supporting automated vulnerability analysis using formalized vulnerability signatures"
"John Grundy","Supporting automated vulnerability analysis using formalized vulnerability signatures"
"Amani S. Ibrahim","Supporting automated vulnerability analysis using formalized vulnerability signatures"
"Michael Goedicke","Supporting automated vulnerability analysis using formalized vulnerability signatures"
"Tim Menzies","Supporting automated vulnerability analysis using formalized vulnerability signatures"
"Motoshi Saeki","Supporting automated vulnerability analysis using formalized vulnerability signatures"
"Rick Rabiser","A qualitative study on user guidance capabilities in product configuration tools"
"Paul Grünbacher","A qualitative study on user guidance capabilities in product configuration tools"
"Martin Lehofer","A qualitative study on user guidance capabilities in product configuration tools"
"Michael Goedicke","A qualitative study on user guidance capabilities in product configuration tools"
"Tim Menzies","A qualitative study on user guidance capabilities in product configuration tools"
"Motoshi Saeki","A qualitative study on user guidance capabilities in product configuration tools"
"Sven Apel","Structured merge with auto-tuning: balancing precision and performance"
"Olaf Leßenich","Structured merge with auto-tuning: balancing precision and performance"
"Christian Lengauer","Structured merge with auto-tuning: balancing precision and performance"
"Michael Goedicke","Structured merge with auto-tuning: balancing precision and performance"
"Tim Menzies","Structured merge with auto-tuning: balancing precision and performance"
"Motoshi Saeki","Structured merge with auto-tuning: balancing precision and performance"
"Ayman Amin","An automated approach to forecasting QoS attributes based on linear and non-linear time series modeling"
"Lars Grunske","An automated approach to forecasting QoS attributes based on linear and non-linear time series modeling"
"Alan Colman","An automated approach to forecasting QoS attributes based on linear and non-linear time series modeling"
"Michael Goedicke","An automated approach to forecasting QoS attributes based on linear and non-linear time series modeling"
"Tim Menzies","An automated approach to forecasting QoS attributes based on linear and non-linear time series modeling"
"Motoshi Saeki","An automated approach to forecasting QoS attributes based on linear and non-linear time series modeling"
"Ning Chen","Puzzle-based automatic testing: bringing humans into the loop by solving puzzles"
"Sunghun Kim","Puzzle-based automatic testing: bringing humans into the loop by solving puzzles"
"Michael Goedicke","Puzzle-based automatic testing: bringing humans into the loop by solving puzzles"
"Tim Menzies","Puzzle-based automatic testing: bringing humans into the loop by solving puzzles"
"Motoshi Saeki","Puzzle-based automatic testing: bringing humans into the loop by solving puzzles"
"Kari Kähkönen","Using unfoldings in automated testing of multithreaded programs"
"Olli Saarikivi","Using unfoldings in automated testing of multithreaded programs"
"Keijo Heljanko","Using unfoldings in automated testing of multithreaded programs"
"Michael Goedicke","Using unfoldings in automated testing of multithreaded programs"
"Tim Menzies","Using unfoldings in automated testing of multithreaded programs"
"Motoshi Saeki","Using unfoldings in automated testing of multithreaded programs"
"Adel Noureddine","Runtime monitoring of software energy hotspots"
"Aurelien Bourdon","Runtime monitoring of software energy hotspots"
"Romain Rouvoy","Runtime monitoring of software energy hotspots"
"Lionel Seinturier","Runtime monitoring of software energy hotspots"
"Michael Goedicke","Runtime monitoring of software energy hotspots"
"Tim Menzies","Runtime monitoring of software energy hotspots"
"Motoshi Saeki","Runtime monitoring of software energy hotspots"
"Xiaoyin Wang","Can I clone this piece of code here?"
"Yingnong Dang","Can I clone this piece of code here?"
"Lu Zhang","Can I clone this piece of code here?"
"Dongmei Zhang","Can I clone this piece of code here?"
"Erica Lan","Can I clone this piece of code here?"
"Hong Mei","Can I clone this piece of code here?"
"Michael Goedicke","Can I clone this piece of code here?"
"Tim Menzies","Can I clone this piece of code here?"
"Motoshi Saeki","Can I clone this piece of code here?"
"Hyunmin Seo","Predicting recurring crash stacks"
"Sunghun Kim","Predicting recurring crash stacks"
"Michael Goedicke","Predicting recurring crash stacks"
"Tim Menzies","Predicting recurring crash stacks"
"Motoshi Saeki","Predicting recurring crash stacks"
"Dennis Westermann","Automated inference of goal-oriented performance prediction functions"
"Jens Happe","Automated inference of goal-oriented performance prediction functions"
"Rouven Krebs","Automated inference of goal-oriented performance prediction functions"
"Roozbeh Farahbod","Automated inference of goal-oriented performance prediction functions"
"Michael Goedicke","Automated inference of goal-oriented performance prediction functions"
"Tim Menzies","Automated inference of goal-oriented performance prediction functions"
"Motoshi Saeki","Automated inference of goal-oriented performance prediction functions"
"Achraf Ghabi","Code patterns for automatically validating requirements-to-code traces"
"Alexander Egyed","Code patterns for automatically validating requirements-to-code traces"
"Michael Goedicke","Code patterns for automatically validating requirements-to-code traces"
"Tim Menzies","Code patterns for automatically validating requirements-to-code traces"
"Motoshi Saeki","Code patterns for automatically validating requirements-to-code traces"
"Jaideep Nijjar","Unbounded data model verification using SMT solvers"
"Tevfik Bultan","Unbounded data model verification using SMT solvers"
"Michael Goedicke","Unbounded data model verification using SMT solvers"
"Tim Menzies","Unbounded data model verification using SMT solvers"
"Motoshi Saeki","Unbounded data model verification using SMT solvers"
"Alexander Reder","Computing repair trees for resolving inconsistencies in design models"
"Alexander Egyed","Computing repair trees for resolving inconsistencies in design models"
"Michael Goedicke","Computing repair trees for resolving inconsistencies in design models"
"Tim Menzies","Computing repair trees for resolving inconsistencies in design models"
"Motoshi Saeki","Computing repair trees for resolving inconsistencies in design models"
"Mohamed Almorsy","Supporting automated software re-engineering using re-aspects"
"John Grundy","Supporting automated software re-engineering using re-aspects"
"Amani S. Ibrahim","Supporting automated software re-engineering using re-aspects"
"Michael Goedicke","Supporting automated software re-engineering using re-aspects"
"Tim Menzies","Supporting automated software re-engineering using re-aspects"
"Motoshi Saeki","Supporting automated software re-engineering using re-aspects"
"Amani S. Ibrahim","Supporting operating system kernel data disambiguation using points-to analysis"
"John Grundy","Supporting operating system kernel data disambiguation using points-to analysis"
"James Hamlyn-Harris","Supporting operating system kernel data disambiguation using points-to analysis"
"Mohamed Almorsy","Supporting operating system kernel data disambiguation using points-to analysis"
"Michael Goedicke","Supporting operating system kernel data disambiguation using points-to analysis"
"Tim Menzies","Supporting operating system kernel data disambiguation using points-to analysis"
"Motoshi Saeki","Supporting operating system kernel data disambiguation using points-to analysis"
"Moria Abadi","Automatic recovery of statecharts from procedural code"
"Yishai A. Feldman","Automatic recovery of statecharts from procedural code"
"Michael Goedicke","Automatic recovery of statecharts from procedural code"
"Tim Menzies","Automatic recovery of statecharts from procedural code"
"Motoshi Saeki","Automatic recovery of statecharts from procedural code"
"Julia Rubin","Locating distinguishing features using diff sets"
"Marsha Chechik","Locating distinguishing features using diff sets"
"Michael Goedicke","Locating distinguishing features using diff sets"
"Tim Menzies","Locating distinguishing features using diff sets"
"Motoshi Saeki","Locating distinguishing features using diff sets"
"Katsuhisa Maruyama","Slicing and replaying code change history"
"Eijiro Kitsu","Slicing and replaying code change history"
"Takayuki Omori","Slicing and replaying code change history"
"Shinpei Hayashi","Slicing and replaying code change history"
"Michael Goedicke","Slicing and replaying code change history"
"Tim Menzies","Slicing and replaying code change history"
"Motoshi Saeki","Slicing and replaying code change history"
"Martin Faunes","Generating model transformation rules from examples using an evolutionary algorithm"
"Houari Sahraoui","Generating model transformation rules from examples using an evolutionary algorithm"
"Mounir Boukadoum","Generating model transformation rules from examples using an evolutionary algorithm"
"Michael Goedicke","Generating model transformation rules from examples using an evolutionary algorithm"
"Tim Menzies","Generating model transformation rules from examples using an evolutionary algorithm"
"Motoshi Saeki","Generating model transformation rules from examples using an evolutionary algorithm"
"Konrad Jamrozik","Augmented dynamic symbolic execution"
"Gordon Fraser","Augmented dynamic symbolic execution"
"Nikolai Tillmann","Augmented dynamic symbolic execution"
"Jonathan De Halleux","Augmented dynamic symbolic execution"
"Michael Goedicke","Augmented dynamic symbolic execution"
"Tim Menzies","Augmented dynamic symbolic execution"
"Motoshi Saeki","Augmented dynamic symbolic execution"
"Domenico Amalfitano","Using GUI ripping for automated testing of Android applications"
"Anna Rita Fasolino","Using GUI ripping for automated testing of Android applications"
"Porfirio Tramontana","Using GUI ripping for automated testing of Android applications"
"Salvatore De Carmine","Using GUI ripping for automated testing of Android applications"
"Atif M. Memon","Using GUI ripping for automated testing of Android applications"
"Michael Goedicke","Using GUI ripping for automated testing of Android applications"
"Tim Menzies","Using GUI ripping for automated testing of Android applications"
"Motoshi Saeki","Using GUI ripping for automated testing of Android applications"
Lucia,"kbe-anonymity: test data anonymization for evolving programs"
"David Lo","kbe-anonymity: test data anonymization for evolving programs"
"Lingxiao Jiang","kbe-anonymity: test data anonymization for evolving programs"
"Aditya Budi","kbe-anonymity: test data anonymization for evolving programs"
"Michael Goedicke","kbe-anonymity: test data anonymization for evolving programs"
"Tim Menzies","kbe-anonymity: test data anonymization for evolving programs"
"Motoshi Saeki","kbe-anonymity: test data anonymization for evolving programs"
"JeeHyun Hwang","Selection of regression system tests for security policy evolution"
"Tao Xie","Selection of regression system tests for security policy evolution"
"Donia El Kateb","Selection of regression system tests for security policy evolution"
"Tejeddine Mouelhi","Selection of regression system tests for security policy evolution"
"Yves Le Traon","Selection of regression system tests for security policy evolution"
"Michael Goedicke","Selection of regression system tests for security policy evolution"
"Tim Menzies","Selection of regression system tests for security policy evolution"
"Motoshi Saeki","Selection of regression system tests for security policy evolution"
"Lei Shang","Fast and precise points-to analysis with incremental CFL-reachability summarisation: preliminary experience"
"Yi Lu","Fast and precise points-to analysis with incremental CFL-reachability summarisation: preliminary experience"
"Jingling Xue","Fast and precise points-to analysis with incremental CFL-reachability summarisation: preliminary experience"
"Michael Goedicke","Fast and precise points-to analysis with incremental CFL-reachability summarisation: preliminary experience"
"Tim Menzies","Fast and precise points-to analysis with incremental CFL-reachability summarisation: preliminary experience"
"Motoshi Saeki","Fast and precise points-to analysis with incremental CFL-reachability summarisation: preliminary experience"
"Alexandre Bartel","Automatically securing permission-based software by reducing the attack surface: an application to Android"
"Jacques Klein","Automatically securing permission-based software by reducing the attack surface: an application to Android"
"Yves Le Traon","Automatically securing permission-based software by reducing the attack surface: an application to Android"
"Martin Monperrus","Automatically securing permission-based software by reducing the attack surface: an application to Android"
"Michael Goedicke","Automatically securing permission-based software by reducing the attack surface: an application to Android"
"Tim Menzies","Automatically securing permission-based software by reducing the attack surface: an application to Android"
"Motoshi Saeki","Automatically securing permission-based software by reducing the attack surface: an application to Android"
"Abdou Maiga","Support vector machines for anti-pattern detection"
"Nasir Ali","Support vector machines for anti-pattern detection"
"Neelesh Bhattacharya","Support vector machines for anti-pattern detection"
"Aminata Sabané","Support vector machines for anti-pattern detection"
"Yann-Gaël Guéhéneuc","Support vector machines for anti-pattern detection"
"Giuliano Antoniol","Support vector machines for anti-pattern detection"
"Esma Aïmeur","Support vector machines for anti-pattern detection"
"Michael Goedicke","Support vector machines for anti-pattern detection"
"Tim Menzies","Support vector machines for anti-pattern detection"
"Motoshi Saeki","Support vector machines for anti-pattern detection"
"Hung Viet Nguyen","Detection of embedded code smells in dynamic web applications"
"Hoan Anh Nguyen","Detection of embedded code smells in dynamic web applications"
"Tung Thanh Nguyen","Detection of embedded code smells in dynamic web applications"
"Anh Tuan Nguyen","Detection of embedded code smells in dynamic web applications"
"Tien N. Nguyen","Detection of embedded code smells in dynamic web applications"
"Michael Goedicke","Detection of embedded code smells in dynamic web applications"
"Tim Menzies","Detection of embedded code smells in dynamic web applications"
"Motoshi Saeki","Detection of embedded code smells in dynamic web applications"
"Yang Yuan","Boreas: an accurate and scalable token-based approach to code clone detection"
"Yao Guo","Boreas: an accurate and scalable token-based approach to code clone detection"
"Michael Goedicke","Boreas: an accurate and scalable token-based approach to code clone detection"
"Tim Menzies","Boreas: an accurate and scalable token-based approach to code clone detection"
"Motoshi Saeki","Boreas: an accurate and scalable token-based approach to code clone detection"
"Friedrich Steimann","Refactorings without names"
"Jens von Pilgrim","Refactorings without names"
"Michael Goedicke","Refactorings without names"
"Tim Menzies","Refactorings without names"
"Motoshi Saeki","Refactorings without names"
"Huiqing Li","Automated API migration in a user-extensible refactoring tool for Erlang programs"
"Simon Thompson","Automated API migration in a user-extensible refactoring tool for Erlang programs"
"Michael Goedicke","Automated API migration in a user-extensible refactoring tool for Erlang programs"
"Tim Menzies","Automated API migration in a user-extensible refactoring tool for Erlang programs"
"Motoshi Saeki","Automated API migration in a user-extensible refactoring tool for Erlang programs"
"Rainer Lutz","Using mobile devices for collaborative requirements engineering"
"Sascha Schäfer","Using mobile devices for collaborative requirements engineering"
"Stephan Diehl","Using mobile devices for collaborative requirements engineering"
"Michael Goedicke","Using mobile devices for collaborative requirements engineering"
"Tim Menzies","Using mobile devices for collaborative requirements engineering"
"Motoshi Saeki","Using mobile devices for collaborative requirements engineering"
"Andreas Demuth","Automatically generating and adapting model constraints to support co-evolution of design models"
"Roberto E. Lopez-Herrejon","Automatically generating and adapting model constraints to support co-evolution of design models"
"Alexander Egyed","Automatically generating and adapting model constraints to support co-evolution of design models"
"Michael Goedicke","Automatically generating and adapting model constraints to support co-evolution of design models"
"Tim Menzies","Automatically generating and adapting model constraints to support co-evolution of design models"
"Motoshi Saeki","Automatically generating and adapting model constraints to support co-evolution of design models"
"Timo Kehrer","Adaptability of model comparison tools"
"Udo Kelter","Adaptability of model comparison tools"
"Pit Pietsch","Adaptability of model comparison tools"
"Maik Schmidt","Adaptability of model comparison tools"
"Michael Goedicke","Adaptability of model comparison tools"
"Tim Menzies","Adaptability of model comparison tools"
"Motoshi Saeki","Adaptability of model comparison tools"
"Lwin Khin Shar","Predicting common web application vulnerabilities from input validation and sanitization code patterns"
"Hee Beng Kuan Tan","Predicting common web application vulnerabilities from input validation and sanitization code patterns"
"Michael Goedicke","Predicting common web application vulnerabilities from input validation and sanitization code patterns"
"Tim Menzies","Predicting common web application vulnerabilities from input validation and sanitization code patterns"
"Motoshi Saeki","Predicting common web application vulnerabilities from input validation and sanitization code patterns"
"Huihua Lu","Software defect prediction using semi-supervised learning with dimension reduction"
"Bojan Cukic","Software defect prediction using semi-supervised learning with dimension reduction"
"Mark Culp","Software defect prediction using semi-supervised learning with dimension reduction"
"Michael Goedicke","Software defect prediction using semi-supervised learning with dimension reduction"
"Tim Menzies","Software defect prediction using semi-supervised learning with dimension reduction"
"Motoshi Saeki","Software defect prediction using semi-supervised learning with dimension reduction"
"Rui Ding","Healing online service systems via mining historical issue repositories"
"Qiang Fu","Healing online service systems via mining historical issue repositories"
"Jian-Guang Lou","Healing online service systems via mining historical issue repositories"
"Qingwei Lin","Healing online service systems via mining historical issue repositories"
"Dongmei Zhang","Healing online service systems via mining historical issue repositories"
"Jiajun Shen","Healing online service systems via mining historical issue repositories"
"Tao Xie","Healing online service systems via mining historical issue repositories"
"Michael Goedicke","Healing online service systems via mining historical issue repositories"
"Tim Menzies","Healing online service systems via mining historical issue repositories"
"Motoshi Saeki","Healing online service systems via mining historical issue repositories"
"Maartje de Jonge","Automated evaluation of syntax error recovery"
"Eelco Visser","Automated evaluation of syntax error recovery"
"Michael Goedicke","Automated evaluation of syntax error recovery"
"Tim Menzies","Automated evaluation of syntax error recovery"
"Motoshi Saeki","Automated evaluation of syntax error recovery"
"Massila Kamalrudin","MaramaAI: tool support for capturing and managing consistency of multi-lingual requirements"
"John Grundy","MaramaAI: tool support for capturing and managing consistency of multi-lingual requirements"
"John Hosking","MaramaAI: tool support for capturing and managing consistency of multi-lingual requirements"
"Michael Goedicke","MaramaAI: tool support for capturing and managing consistency of multi-lingual requirements"
"Tim Menzies","MaramaAI: tool support for capturing and managing consistency of multi-lingual requirements"
"Motoshi Saeki","MaramaAI: tool support for capturing and managing consistency of multi-lingual requirements"
"Sebastian Bauersfeld","GUITest: a Java library for fully automated GUI robustness testing"
"Tanja E. J. Vos","GUITest: a Java library for fully automated GUI robustness testing"
"Michael Goedicke","GUITest: a Java library for fully automated GUI robustness testing"
"Tim Menzies","GUITest: a Java library for fully automated GUI robustness testing"
"Motoshi Saeki","GUITest: a Java library for fully automated GUI robustness testing"
"Palakorn Achananuparp","Observatory of trends in software related microblogs"
"Ibrahim Nelman Lubis","Observatory of trends in software related microblogs"
"Yuan Tian","Observatory of trends in software related microblogs"
"David Lo","Observatory of trends in software related microblogs"
"Ee-Peng Lim","Observatory of trends in software related microblogs"
"Michael Goedicke","Observatory of trends in software related microblogs"
"Tim Menzies","Observatory of trends in software related microblogs"
"Motoshi Saeki","Observatory of trends in software related microblogs"
"Sebastian Biallas","Arcade.PLC: a verification platform for programmable logic controllers"
"Jörg Brauer","Arcade.PLC: a verification platform for programmable logic controllers"
"Stefan Kowalewski","Arcade.PLC: a verification platform for programmable logic controllers"
"Michael Goedicke","Arcade.PLC: a verification platform for programmable logic controllers"
"Tim Menzies","Arcade.PLC: a verification platform for programmable logic controllers"
"Motoshi Saeki","Arcade.PLC: a verification platform for programmable logic controllers"
"Yves Ledru","Test suite selection based on traceability annotations"
"German Vega","Test suite selection based on traceability annotations"
"Taha Triki","Test suite selection based on traceability annotations"
"Lydie du Bousquet","Test suite selection based on traceability annotations"
"Michael Goedicke","Test suite selection based on traceability annotations"
"Tim Menzies","Test suite selection based on traceability annotations"
"Motoshi Saeki","Test suite selection based on traceability annotations"
"Fu Song","PuMoC: a CTL model-checker for sequential programs"
"Tayssir Touili","PuMoC: a CTL model-checker for sequential programs"
"Michael Goedicke","PuMoC: a CTL model-checker for sequential programs"
"Tim Menzies","PuMoC: a CTL model-checker for sequential programs"
"Motoshi Saeki","PuMoC: a CTL model-checker for sequential programs"
"Yliès Falcone","Weave droid: aspect-oriented programming on Android devices: fully embedded or in the cloud"
"Sebastian Currea","Weave droid: aspect-oriented programming on Android devices: fully embedded or in the cloud"
"Michael Goedicke","Weave droid: aspect-oriented programming on Android devices: fully embedded or in the cloud"
"Tim Menzies","Weave droid: aspect-oriented programming on Android devices: fully embedded or in the cloud"
"Motoshi Saeki","Weave droid: aspect-oriented programming on Android devices: fully embedded or in the cloud"
"Inah Omoronyia","Caprice: a tool for engineering adaptive privacy"
"Liliana Pasquale","Caprice: a tool for engineering adaptive privacy"
"Mazeiar Salehie","Caprice: a tool for engineering adaptive privacy"
"Luca Cavallaro","Caprice: a tool for engineering adaptive privacy"
"Gavin Doherty","Caprice: a tool for engineering adaptive privacy"
"Bashar Nuseibeh","Caprice: a tool for engineering adaptive privacy"
"Michael Goedicke","Caprice: a tool for engineering adaptive privacy"
"Tim Menzies","Caprice: a tool for engineering adaptive privacy"
"Motoshi Saeki","Caprice: a tool for engineering adaptive privacy"
"Laura Moreno","JStereoCode: automatically identifying method and class stereotypes in Java code"
"Andrian Marcus","JStereoCode: automatically identifying method and class stereotypes in Java code"
"Michael Goedicke","JStereoCode: automatically identifying method and class stereotypes in Java code"
"Tim Menzies","JStereoCode: automatically identifying method and class stereotypes in Java code"
"Motoshi Saeki","JStereoCode: automatically identifying method and class stereotypes in Java code"
"Antonio Cicchetti","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Federico Ciccozzi","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Silvia Mazzini","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Stefano Puri","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Marco Panunzio","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Alessandro Zovi","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Tullio Vardanega","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Michael Goedicke","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Tim Menzies","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Motoshi Saeki","CHESS: a model-driven engineering tool environment for aiding the development of complex industrial systems"
"Ahmed Tamrawi","SYMake: a build code analysis and refactoring tool for makefiles"
"Hoan Anh Nguyen","SYMake: a build code analysis and refactoring tool for makefiles"
"Hung Viet Nguyen","SYMake: a build code analysis and refactoring tool for makefiles"
"Tien N. Nguyen","SYMake: a build code analysis and refactoring tool for makefiles"
"Michael Goedicke","SYMake: a build code analysis and refactoring tool for makefiles"
"Tim Menzies","SYMake: a build code analysis and refactoring tool for makefiles"
"Motoshi Saeki","SYMake: a build code analysis and refactoring tool for makefiles"
"Cameron Hine","Quokka: visualising interactions of enterprise software environment emulators"
"Jean-Guy Schneider","Quokka: visualising interactions of enterprise software environment emulators"
"Jun Han","Quokka: visualising interactions of enterprise software environment emulators"
"Steve Versteeg","Quokka: visualising interactions of enterprise software environment emulators"
"Michael Goedicke","Quokka: visualising interactions of enterprise software environment emulators"
"Tim Menzies","Quokka: visualising interactions of enterprise software environment emulators"
"Motoshi Saeki","Quokka: visualising interactions of enterprise software environment emulators"
"Stefan Dösinger","Communicating continuous integration servers for increasing effectiveness of automated testing"
"Richard Mordinyi","Communicating continuous integration servers for increasing effectiveness of automated testing"
"Stefan Biffl","Communicating continuous integration servers for increasing effectiveness of automated testing"
"Michael Goedicke","Communicating continuous integration servers for increasing effectiveness of automated testing"
"Tim Menzies","Communicating continuous integration servers for increasing effectiveness of automated testing"
"Motoshi Saeki","Communicating continuous integration servers for increasing effectiveness of automated testing"
"José Campos","GZoltar: an eclipse plug-in for testing and debugging"
"André Riboira","GZoltar: an eclipse plug-in for testing and debugging"
"Alexandre Perez","GZoltar: an eclipse plug-in for testing and debugging"
"Rui Abreu","GZoltar: an eclipse plug-in for testing and debugging"
"Michael Goedicke","GZoltar: an eclipse plug-in for testing and debugging"
"Tim Menzies","GZoltar: an eclipse plug-in for testing and debugging"
"Motoshi Saeki","GZoltar: an eclipse plug-in for testing and debugging"
"Jesper Andersen","Semantic patch inference"
"Anh Cuong Nguyen","Semantic patch inference"
"David Lo","Semantic patch inference"
"Julia L. Lawall","Semantic patch inference"
"Siau-Cheng Khoo","Semantic patch inference"
"Michael Goedicke","Semantic patch inference"
"Tim Menzies","Semantic patch inference"
"Motoshi Saeki","Semantic patch inference"
"Tuong Huan Nguyen","REInDetector: a framework for knowledge-based requirements engineering"
"Bao Quoc Vo","REInDetector: a framework for knowledge-based requirements engineering"
"Markus Lumpe","REInDetector: a framework for knowledge-based requirements engineering"
"John Grundy","REInDetector: a framework for knowledge-based requirements engineering"
"Michael Goedicke","REInDetector: a framework for knowledge-based requirements engineering"
"Tim Menzies","REInDetector: a framework for knowledge-based requirements engineering"
"Motoshi Saeki","REInDetector: a framework for knowledge-based requirements engineering"
"Sebastian Gabmeyer","Formal verification techniques for model transformations specified by-demonstration"
"Michael Goedicke","Formal verification techniques for model transformations specified by-demonstration"
"Tim Menzies","Formal verification techniques for model transformations specified by-demonstration"
"Motoshi Saeki","Formal verification techniques for model transformations specified by-demonstration"
"Luis Quesada","A model-driven parser generator with reference resolution support"
"Michael Goedicke","A model-driven parser generator with reference resolution support"
"Tim Menzies","A model-driven parser generator with reference resolution support"
