author,article
"Serge Haddad","Model Checking Timed and Stochastic Properties with CSL^{TA}"
"Jeremy Sproston","Model Checking Timed and Stochastic Properties with CSL^{TA}"
"Tingting Han","Counterexample Generation in Probabilistic Model Checking"
"Joost-Pieter Katoen","Counterexample Generation in Probabilistic Model Checking"
"Damman Berteun","Counterexample Generation in Probabilistic Model Checking"
"Luca de Alfaro","Linear and Branching System Metrics"
"Marco Faella","Linear and Branching System Metrics"
"Marielle Stoelinga","Linear and Branching System Metrics"
"Eckard Bode","Compositional Dependability Evaluation for STATEMATE"
"Marc Herbstritt","Compositional Dependability Evaluation for STATEMATE"
"Holger Hermanns","Compositional Dependability Evaluation for STATEMATE"
"Sven Johr","Compositional Dependability Evaluation for STATEMATE"
"Thomas Peikenkamp","Compositional Dependability Evaluation for STATEMATE"
"A. Güneş Koru","An Investigation into the Functional Form of the Size-Defect Relationship for Software Modules"
"Dongsong Zhang","An Investigation into the Functional Form of the Size-Defect Relationship for Software Modules"
"Khaled El Emam","An Investigation into the Functional Form of the Size-Defect Relationship for Software Modules"
"Hongfang Liu","An Investigation into the Functional Form of the Size-Defect Relationship for Software Modules"
"Chunyang Ye","Atomicity Analysis of Service Composition across Organizations"
"S.C. Cheung","Atomicity Analysis of Service Composition across Organizations"
"W.K. Chan","Atomicity Analysis of Service Composition across Organizations"
"Chang Xu","Atomicity Analysis of Service Composition across Organizations"
"Sebastian Elbaum","Carving and Replaying Differential Unit Test Cases from System Test Cases"
"Hui Nee Chin","Carving and Replaying Differential Unit Test Cases from System Test Cases"
"Matthew B. Dwyer","Carving and Replaying Differential Unit Test Cases from System Test Cases"
"Matthew Jorde","Carving and Replaying Differential Unit Test Cases from System Test Cases"
"Pamela Zave","Compositional Control of IP Media"
"Eric Cheung","Compositional Control of IP Media"
"Sarah Spiekermann","Engineering Privacy"
"Lorrie Faith Cranor","Engineering Privacy"
"Anders Mattsson","Linking Model-Driven Development and Software Architecture: A Case Study"
"Björn Lundell","Linking Model-Driven Development and Software Architecture: A Case Study"
"Brian Lings","Linking Model-Driven Development and Software Architecture: A Case Study"
"Brian Fitzgerald","Linking Model-Driven Development and Software Architecture: A Case Study"
"Robin Abraham","Mutation Operators for Spreadsheets"
"Martin Erwig","Mutation Operators for Spreadsheets"
"An Ngo-The","Optimized Resource Allocation for Software Release Planning"
"Günther Ruhe","Optimized Resource Allocation for Software Release Planning"
"Peter Hearty","Predicting Project Velocity in XP Using a Learning Dynamic Bayesian Network Model"
"Norman Fenton","Predicting Project Velocity in XP Using a Learning Dynamic Bayesian Network Model"
"David Marquez","Predicting Project Velocity in XP Using a Learning Dynamic Bayesian Network Model"
"Martin Neil","Predicting Project Velocity in XP Using a Learning Dynamic Bayesian Network Model"
"Shaukat Ali","A Systematic Review of the Application and Empirical Investigation of Search-Based Test Case Generation"
"Lionel C. Briand","A Systematic Review of the Application and Empirical Investigation of Search-Based Test Case Generation"
"Hadi Hemmati","A Systematic Review of the Application and Empirical Investigation of Search-Based Test Case Generation"
"Rajwinder Kaur Panesar-Walawege","A Systematic Review of the Application and Empirical Investigation of Search-Based Test Case Generation"
"Simon Poulding","Efficient Software Verification: Statistical Testing Using Automated Search"
"John A. Clark","Efficient Software Verification: Statistical Testing Using Automated Search"
"Vahid Garousi","A Genetic Algorithm-Based Stress Test Requirements Generator Tool and Its Empirical Evaluation"
"Christopher L. Simons","Interactive, Evolutionary Search in Upstream Object-Oriented Class Design"
"Ian C. Parmee","Interactive, Evolutionary Search in Upstream Object-Oriented Class Design"
"Rhys Gwynllyw","Interactive, Evolutionary Search in Upstream Object-Oriented Class Design"
"Michael Bowman","Solving the Class Responsibility Assignment Problem in Object-Oriented Analysis with Multi-Objective Genetic Algorithms"
"Lionel C. Briand","Solving the Class Responsibility Assignment Problem in Object-Oriented Analysis with Multi-Objective Genetic Algorithms"
"Yvan Labiche","Solving the Class Responsibility Assignment Problem in Object-Oriented Analysis with Multi-Objective Genetic Algorithms"
"Jules White","ASCENT: An Algorithmic Technique for Designing Hardware and Software in Tandem"
