name
"Yasutaka Kamei"
"Emad Shihab"
"Bram Adams"
"Mark Marron"
"Cesar Sanchez"
"Manuel Fahndrich"
"Richard Baker"
"Ibrahim Habli"
"Marcello Cinque"
"Domenico Cotroneo"
"Antonio Pecchia"
"Andrew Butcher"
"Andrian Marcus"
"Lucas Layman"
"Forrest Shull"
"Yahya Rafique"
"Vojislav B. Mišić"
"Guillermo Rodriguez-Navas"
"Julián Proenza"
"Patricia Lago"
"Antony Tang"
"Vivek Nallur"
"Rami Bahsoon"
"David Kawrykow"
"Mira Mezini"
"Tristan Ratchford"
"Alessandro Pinzuti"
"Aldeida Aleti"
"Anne Koziolek"
"Indika Meedeniya"
"Cemal Yilmaz"
"Juha Itkonen"
"Nasir Ali"
"Anna Perini"
"Angelo Susi"
"Paolo Avesani"
"Tihana Galinac Grbac"
"Per Runeson"
"Darko Huljenić"
"Satoshi Ikeda"
"Masahiro Jibiki"
"Yasushi Kuno"
"John C. Grundy"
"Karen Na Li"
"Jun Huh"
"Richard Lei Li"
"Xiaoyin Wang"
"Tao Xie"
"Jiasu Sun"
"Nikolaos Mittas"
"Lefteris Angelis"
"Shivkumar Shivaji"
"E. James Whitehead"
"Ram Akella"
"Pedro Reales Mateo"
"Macario Polo Usaola"
"José Luis Fernández Alemán"
"José N. Oliveira"
"Miguel A. Ferreira"
"Silvia Abrahão"
"Carmine Gravino"
"Emilio Insfran"
"Giuseppe Scanniello"
"Genoveffa Tortora"
"Dalal Alrajeh"
"Alessandra Russo"
"Mohammad S. Raunak"
"Liliana Rosa"
"Luís Rodrigues"
"Antónia Lopes"
"Matti Hiltunen"
"Richard Schlichting"
"Rashina Hoda"
"James Noble"
"Stuart Marshall"
"Gustavo Soares"
"Rohit Gheyi"
"Tiago Massoni"
"Ali Shahbazi"
"Andrew F. Tappenden"
"James Miller"
"Marco Piccioni"
"Manuel Oriol"
"Bertrand Meyer"
"Joseph Lawrance"
"Christopher Bogart"
"Margaret Burnett"
"Rachel Bellamy"
"Kyle Rector"
"Wei Wei"
"Thomas Verbraken"
"Shifa-e-Zehra Haidry"
"Wei-Neng Chen"
"Jun Zhang"
"Davide Falessi"
"Giovanni Cantone"
"Gerardo Canfora"
"Miryung Kim"
"Dan Grossman"
"Gary Wilson"
"Sven Apel"
"Christian Kästner"
"Christian Lengauer"
"Roberto Natella"
"Joao A. Duraes"
"Henrique S. Madeira"
"Richard A. Hayden"
"Jeremy T. Bradley"
"Allan Clark"
"Leticia Duboc"
"Emmanuel Letier"
"Fabio Massacci"
"Viet Hung Nguyen"
"Gunnar R. Bergersen"
"Emilio Coppa"
"Camil Demetrescu"
"Irene Finocchi"
"Cong Tian"
"Zhenhua Duan"
"Zhao Duan"
"Kevin Lano"
"Shekoufeh Kolahdouz-Rahimi"
"Jesús Sánchez Cuadrado"
"Esther Guerra"
"Juan de Lara"
"Sebastian Draxler"
"Gunnar Stevens"
"Alexander Boden"
"Chu-Ti Lin"
"Yan-Fu Li"
"Dimitrios Athanasiou"
"Ariadi Nugroho"
"Joost Visser"
"Barthélémy Dagenais"
"Erik Casagrande"
"Selamawit Woldeamlak"
"Wei Lee Woon"
"H. H. Zeineldin"
"Ying-Dar Lin"
"Jose F. Rojas"
"Edward T.-H. Chu"
"Yuan-Cheng Lai"
"Wladimir Araujo"
"Riccardo Scandariato"
"James Walden"
"Aram Hovsepyan"
"Wouter Joosen"
"Bin Lu"
"Leon Sterling"
"Kuldar Taveter"
"Arilo Claudio Dias-Neto"
"Guilherme Horta Travassos"
"Wael Kessentini"
"Marouane Kessentini"
"Houari Sahraoui"
"Slim Bechikh"
"Ali Ouni"
"Ismael Rodríguez"
"Luis Llana"
"Pablo Rabanal"
"David Fernandez-Amoros"
"Ruben Heradio"
"Jose A. Cerrada"
"Carlos Cerrada"
"Yepang Liu"
"Jian Lü"
"Matej Hertis"
"Matjaz B. Juric"
"Yingnong Dang"
"Dongmei Zhang"
"Erica Lan"
"Gregorio Díaz"
"María Emilia Cambronero"
"Enrique Martínez"
"Gerardo Schneider"
"Henrik Leopold"
"Artem Polyvyanyy"
"Nachiappan Nagappan"
"Christopher Henard"
"Mike Papadakis"
"Gilles Perrouin"
"Jacques Klein"
"Gabriele Bavota"
"Malcom Gethers"
"JaeSeung Song"
"Cristian Cadar"
"Peter Pietzuch"
"Peter Collingbourne"
"Paul H.J. Kelly"
"Ayse Tosun Misirli"
"Ayse Basar Bener"
"Juan Manuel Vara"
"Verónica A. Bollati"
"Álvaro Jiménez"
"Esperanza Marcos"
"Jonathan Lee"
"Kuo-Hsun Hsu"
"Yu Pei"
"Carlo A. Furia"
"Martin Nordio"
"Yi Wei"
"Qiang He"
"Jun Han"
"Hai Jin"
"Jean-Guy Schneider"
"Steve Versteeg"
"Watcharin Leungwattanakit"
"Cyrille Artho"
"Masami Hagiya"
"Yoshinori Tanabe"
"Mitsuharu Yamamoto"
"Venera Arnaoudova"
"Laleh M. Eshkevari"
"Manuel Clavel"
"Marina Egea"
"Miguel A. García de Dios"
"Carolina Dania"
"Christophe Damas"
"Bernard Lambeau"
"Axel van Lamsweerde"
"Sarah Rastkar"
"Gail C. Murphy"
"Gabriel Murray"
"Roberto Latorre"
"Junpeng Lv"
"Bei-Bei Yin"
"Kai-Yuan Cai"
"Saehwa Kim"
"Bao N. Nguyen"
"Charles Song"
"Adam Porter"
"Todd Kulesza"
"Chaoqiang Zhang"
"Shalini Shamasunder"
"Yulei Sui"
"Ding Ye"
"Jingling Xue"
"François Taïani"
"Shen Lin"
"Gordon S. Blair"
"Shang-Wei Lin"
"Étienne André"
"Michael A. Schumann"
"Doron Drusinsky"
"James B. Michael"
"Duminda Wijesekera"
"Immanuel Trummer"
"Boi Faltings"
"Jun Yan"
"Bashar Nuseibeh"
"Huai Liu"
"Fei-Ching Kuo"
"Dave Towey"
"Lech Madeyski"
"Wojciech Orzeszyna"
"Mariusz Józala"
"Emine Dumlu"
"Alexander Dreiling"
"Klaus Ostermann"
"Leandro L. Minku"
"Dirk Sudholt"
"Matthias Schur"
"Andreas Roth"
"Arijit Chattopadhyay"
"Chao Wang"
"Hector A. Duran-Limon"
"Carlos A. Garcia-Rios"
"Francisco E. Castillo-Barrera"
"Rafael Capilla"
"Paul Clarke"
"Rory V. O’Connor"
"Brian Leavy"
"Murat Yilmaz"
"Zhenzhou Tian"
"Qinghua Zheng"
"Ting Liu"
"Ming Fan"
"Eryue Zhuang"
"Zijiang Yang"
"Paige Rodeghero"
"Cheng Liu"
"Paul W. McBurney"
"Davood Mazinanian"
"Giri Panamoottil Krishnan"
"Zhen Ming Jiang"
"Gregory Gay"
"Matt Staats"
"Michael Whalen"
"Mats P. E. Heimdahl"
"Hong Zhu"
"Ian Bayley"
"Chetan Arora"
"Frank Zimmer"
"Kelly Blincoe"
"Giuseppe Valetto"
"Joseph Krall"
"Misty Davies"
"Eva May"
"Wang Xi"
"Xiaoxing Ma"
"Chun Cao"
"Jian Lu"
"Hamid Bagheri"
"Alireza Sadeghi"
"Joshua Garcia"
"Qiurong Liu"
"Zhouding Wang"
"Justyna Petke"
"Shin Yoo"
"Yoon-Chan Jhi"
"Xiaoqi Jia"
"Xinran Wang"
"Sencun Zhu"
"Dinghao Wu"
"Lijun Wu"
"Kaile Su"
"Shaowei Cai"
"Xiaosong Zhang"
"Chenyi Zhang"
"Shupeng Wang"
"Jae young Bang"
"George Edwards"
"Nenad Medvidovic"
"Apostolos Ampatzoglou"
"Sofia Charalampidou"
"Paris Avgeriou"
"Sarah Nadi"
"Marco Autili"
"Markus Lumpe"
"Jaco Geldenhuys"
"Nazareno M. Aguirre"
"Willem Visser"
"Mohamed El-Attar"
"Hamza Luqman"
"Péter Kárpáti"
"Guttorm Sindre"
"Andreas L. Opdahl"
"David Maplesden"
"Ewan Tempero"
"Harold Thimbleby"
"Fabian Pittke"
"Aaron K. Massey"
"Paul N. Otto"
"Annie I. Antón"
"Theodore Chaikalis"
"Yingfei Xiong"
"Hansheng Zhang"
"Arnaud Hubaux"
"Jie Wang"
"Shabnam Mirshokraie"
"Karthik Pattabiraman"
"Aleksandra Jovanović"
"Didier Lime"
"Olivier H. Roux"
"Fabio Palomba"
"Loli Burgueño"
"Javier Troya"
"Manuel Wimmer"
"Antonio Vallecillo"
"Earl T. Barr"
"Muzammil Shahbaz"
"Yibiao Yang"
"Hongmin Lu"
"Lin Chen"
"Zhenyu Chen"
"Annibale Panichella"
"Mario Linares-Vásquez"
"Carlos Eduardo Bernal-Cárdenas"
"Ivan Beschastnikh"
"Jenny Abrahamson"
"Arvind Krishnamurthy"
"Amel Bennaceur"
"Valérie Issarny"
"Jácome Cunha"
"João Paulo Fernandes"
"Jorge Mendes"
"João Saraiva"
"Abdelilah Sakti"
"Gilles Pesant"
"Seonah Lee"
"Sungwon Kang"
"Fevzi Belli"
"Mutlu Beyazıt"
"Nicolas Mangano"
"Thomas D. LaToza"
"Marian Petre"
"Fabian Brosig"
"Philipp Meier"
"Steffen Becker"
"Mark D. Syer"
"Ning Chen"
"Ting Wang"
"Xinyu Wang"
"Yuanjie Si"
"Xiaohu Yang"
"Binny M. Samuel"
"Linwood A. Watkins III"
"Andrew Ehle"
"Vijay Khatri"
"Peter J. Bentley"
"Natalie Kanakam"
"Fuyuki Ishikawa"
"Shinichi Honiden"
"Christian Bird"
"Minghui Zhou"
"Jose Luis de la Vara"
"Markus Borg"
"Krzysztof Wnuk"
"Pierre A. Akiki"
"Arosha K. Bandara"
"Yijun Yu"
"Tse-Hsun Chen"
"Weiyi Shang"
"Mohamed Nasser"
"Dirk Riehle"
"Maximilian Capraro"
"Detlef Kips"
"Lars Horn"
"Sepehr Eghbali"
"Damien Octeau"
"Daniel Luchaup"
"Somesh Jha"
"Patrick McDaniel"
"Taek Lee"
"Jaechang Nam"
"Donggyun Han"
"Hoh Peter In"
"Wafaa S. El-Kassas"
"Bassem A. Abdullah"
"Ahmed H. Yousef"
"Ayman M. Wahba"
"Uraz Cengiz Türker"
"Chakkrit Tantithamthavorn"
"Shane McIntosh"
"Kenichi Matsumoto"
"Mingxing Zhang"
"Yongwei Wu"
"Shanxiang Qi"
"Jinglei Ren"
"Weimin Zheng"
"Alessandro Marchetto"
"Md. Mahfuzul Islam"
"Waseem Asghar"
"Javier Tuya"
"Claudio de la Riva"
"María José Suárez-Cabal"
"Raquel Blanco"
"Abdallah Namoun"
"Athanasia Daskalopoulou"
"Nikolay Mehandjiev"
"Zhang Xun"
"Xin Xia"
"David Lo"
"Sinno Jialin Pan"
"Sergio Segura"
"Ana B. Sanchez"
"Antonio Ruiz-Cortés"
